Product{id=1, name='Leche', price=2.41, quantity=28, daysToExpire=17}
Product{id=2, name='Huevos', price=2.15, quantity=43, daysToExpire=17}
Product{id=3, name='Atún', price=1.35, quantity=27, daysToExpire=8}
Product{id=4, name='Olivas', price=2.15, quantity=20, daysToExpire=8}
Product{id=5, name='Sardinas', price=0.91, quantity=38, daysToExpire=16}
Product{id=6, name='Salmón', price=1.81, quantity=37, daysToExpire=16}
Product{id=7, name='Cordero', price=0.93, quantity=26, daysToExpire=12}
Product{id=8, name='Fresas', price=2.33, quantity=20, daysToExpire=20}
Product{id=9, name='Manzanas', price=1.27, quantity=25, daysToExpire=12}
Product{id=10, name='Peras', price=2.38, quantity=34, daysToExpire=4}
Product{id=11, name='Plátanos', price=2.1, quantity=41, daysToExpire=15}
Product{id=12, name='Uvas', price=2.3, quantity=34, daysToExpire=8}
Product{id=13, name='Naranjas', price=1.87, quantity=34, daysToExpire=3}
Product{id=14, name='Mandarinas', price=2.5, quantity=39, daysToExpire=6}
Product{id=15, name='Limones', price=1.02, quantity=33, daysToExpire=5}
Product{id=16, name='Pomelos', price=1.07, quantity=21, daysToExpire=15}
Product{id=17, name='Mangos', price=1.97, quantity=22, daysToExpire=4}
Product{id=18, name='Papayas', price=2.09, quantity=39, daysToExpire=6}
Product{id=19, name='Kiwis', price=1.81, quantity=32, daysToExpire=20}
Product{id=20, name='Sandías', price=2.06, quantity=38, daysToExpire=10}
Product{id=21, name='Melones', price=1.17, quantity=27, daysToExpire=9}
Product{id=22, name='Cerezas', price=2.31, quantity=50, daysToExpire=7}
Product{id=23, name='Ciruelas', price=2.15, quantity=46, daysToExpire=17}
Product{id=24, name='Duraznos', price=2.1, quantity=38, daysToExpire=10}
Product{id=25, name='Albaricoques', price=1.14, quantity=45, daysToExpire=13}
Product{id=26, name='Frambuesas', price=0.89, quantity=50, daysToExpire=12}
Product{id=27, name='Moras', price=0.86, quantity=38, daysToExpire=6}
Product{id=28, name='Arándanos', price=2.25, quantity=26, daysToExpire=10}
Product{id=29, name='Grosellas', price=2.02, quantity=37, daysToExpire=10}
Product{id=30, name='Higos', price=1.46, quantity=24, daysToExpire=18}
Product{id=31, name='Kakis', price=1.57, quantity=22, daysToExpire=6}
Product{id=32, name='Maracuyás', price=1.44, quantity=34, daysToExpire=3}
Product{id=33, name='Pitayas', price=2.21, quantity=38, daysToExpire=5}
Product{id=34, name='Granadas', price=1.15, quantity=50, daysToExpire=9}
Product{id=35, name='Lichis', price=1.27, quantity=25, daysToExpire=15}
Product{id=36, name='Mangostanes', price=1.6, quantity=23, daysToExpire=4}
Product{id=37, name='Rambutanes', price=1.18, quantity=34, daysToExpire=12}
Product{id=38, name='Maníes', price=1.86, quantity=21, daysToExpire=20}
Product{id=39, name='Almendras', price=2.45, quantity=29, daysToExpire=6}
Product{id=40, name='Nueces', price=1.47, quantity=21, daysToExpire=3}
Product{id=41, name='Anacardos', price=1.56, quantity=45, daysToExpire=11}
Product{id=42, name='Avellanas', price=2.0, quantity=27, daysToExpire=18}
Product{id=43, name='Pecanas', price=2.13, quantity=22, daysToExpire=8}
Product{id=44, name='Pistachos', price=1.87, quantity=42, daysToExpire=20}
Product{id=45, name='Semillas de Girasol', price=1.48, quantity=29, daysToExpire=20}
Product{id=46, name='Semillas de Calabaza', price=1.45, quantity=35, daysToExpire=12}
Product{id=47, name='Semillas de Chía', price=1.27, quantity=36, daysToExpire=5}
Product{id=48, name='Semillas de Sésamo', price=1.8, quantity=47, daysToExpire=14}
Product{id=49, name='Quinoa', price=2.09, quantity=22, daysToExpire=18}
Product{id=50, name='Arroz', price=1.34, quantity=28, daysToExpire=15}
Product{id=51, name='Trigo', price=1.8, quantity=21, daysToExpire=20}
Product{id=52, name='Maíz', price=1.23, quantity=22, daysToExpire=16}
Product{id=53, name='Avena', price=1.86, quantity=39, daysToExpire=6}
Product{id=54, name='Cebada', price=2.3, quantity=49, daysToExpire=20}
Product{id=55, name='Centeno', price=2.01, quantity=47, daysToExpire=15}
Product{id=56, name='Mijo', price=1.74, quantity=43, daysToExpire=10}
Product{id=57, name='Espelta', price=2.37, quantity=27, daysToExpire=19}
Product{id=58, name='Pan', price=1.58, quantity=32, daysToExpire=13}
Product{id=59, name='Pasta', price=1.4, quantity=40, daysToExpire=3}
Product{id=60, name='Fideos', price=2.03, quantity=29, daysToExpire=5}
Product{id=61, name='Cuscús', price=1.2, quantity=24, daysToExpire=16}
Product{id=62, name='Bulgur', price=1.53, quantity=34, daysToExpire=16}
Product{id=63, name='Polenta', price=1.22, quantity=48, daysToExpire=20}
Product{id=64, name='Harina de Trigo', price=1.22, quantity=35, daysToExpire=5}
Product{id=65, name='Harina de Maíz', price=2.23, quantity=22, daysToExpire=5}
Product{id=66, name='Harina de Avena', price=2.07, quantity=34, daysToExpire=5}
Product{id=67, name='Harina de Centeno', price=1.45, quantity=27, daysToExpire=13}
Product{id=68, name='Harina de Garbanzo', price=1.71, quantity=19, daysToExpire=3}
Product{id=69, name='Harina de Almendra', price=1.12, quantity=39, daysToExpire=18}
Product{id=70, name='Harina de Coco', price=2.36, quantity=20, daysToExpire=18}
Product{id=71, name='Patatas', price=2.39, quantity=38, daysToExpire=15}
Product{id=72, name='Batatas', price=1.33, quantity=33, daysToExpire=11}
Product{id=73, name='Boniatos', price=1.12, quantity=31, daysToExpire=6}
Product{id=74, name='Yucas', price=1.85, quantity=16, daysToExpire=5}
Product{id=75, name='Ñames', price=2.24, quantity=20, daysToExpire=18}
Product{id=76, name='Remolachas', price=1.63, quantity=27, daysToExpire=17}
Product{id=77, name='Zanahorias', price=0.95, quantity=28, daysToExpire=12}
Product{id=78, name='Nabos', price=1.73, quantity=31, daysToExpire=11}
Product{id=79, name='Rábanos', price=2.16, quantity=37, daysToExpire=3}
Product{id=80, name='Apios', price=1.74, quantity=22, daysToExpire=17}
Product{id=81, name='Puerros', price=1.9, quantity=35, daysToExpire=5}
Product{id=82, name='Cebollas', price=1.0, quantity=34, daysToExpire=3}
Product{id=83, name='Ajos', price=1.13, quantity=24, daysToExpire=4}
Product{id=84, name='Chalotes', price=1.06, quantity=20, daysToExpire=13}
Product{id=85, name='Cebolletas', price=1.03, quantity=20, daysToExpire=19}
Product{id=86, name='Pepinos', price=1.98, quantity=43, daysToExpire=18}
Product{id=87, name='Calabacines', price=0.85, quantity=36, daysToExpire=18}
Product{id=88, name='Berenjenas', price=1.05, quantity=35, daysToExpire=17}
Product{id=89, name='Tomates', price=1.09, quantity=22, daysToExpire=11}
Product{id=90, name='Pimientos', price=2.32, quantity=43, daysToExpire=13}
Product{id=91, name='Chiles', price=1.85, quantity=25, daysToExpire=6}
Product{id=92, name='Pimientos Rojos', price=0.88, quantity=48, daysToExpire=11}
Product{id=93, name='Pimientos Verdes', price=1.53, quantity=40, daysToExpire=12}
Product{id=94, name='Pimientos Amarillos', price=1.39, quantity=45, daysToExpire=18}
Product{id=95, name='Pimientos Naranjas', price=1.27, quantity=27, daysToExpire=18}
Product{id=96, name='Pimientos Picantes', price=2.05, quantity=48, daysToExpire=12}
Product{id=97, name='Pimientos Dulces', price=0.99, quantity=47, daysToExpire=17}
Product{id=98, name='Coles', price=1.48, quantity=38, daysToExpire=18}
Product{id=99, name='Coliflores', price=1.31, quantity=39, daysToExpire=9}
Product{id=100, name='Brócolis', price=1.2, quantity=35, daysToExpire=5}
Product{id=101, name='Romanescos', price=2.34, quantity=24, daysToExpire=17}
Product{id=102, name='Coles de Bruselas', price=1.07, quantity=18, daysToExpire=4}
Product{id=103, name='Coles Lombardas', price=1.76, quantity=29, daysToExpire=20}
Product{id=104, name='Coles Rizadas', price=1.95, quantity=31, daysToExpire=17}
Product{id=105, name='Coles Kale', price=1.1, quantity=39, daysToExpire=4}
Product{id=106, name='Espinacas', price=1.42, quantity=35, daysToExpire=16}
Product{id=107, name='Acelgas', price=2.49, quantity=32, daysToExpire=19}
Product{id=108, name='Lechugas', price=2.08, quantity=27, daysToExpire=3}
Product{id=109, name='Endivias', price=2.04, quantity=21, daysToExpire=4}
Product{id=110, name='Rúculas', price=2.17, quantity=22, daysToExpire=5}
Product{id=111, name='Canónigos', price=1.52, quantity=38, daysToExpire=4}
Product{id=112, name='Radicchios', price=2.19, quantity=48, daysToExpire=15}
Product{id=113, name='Berros', price=2.33, quantity=27, daysToExpire=20}
Product{id=114, name='Escarolas', price=2.15, quantity=44, daysToExpire=7}
Product{id=115, name='Achicorias', price=1.14, quantity=47, daysToExpire=12}
Product{id=116, name='Setas', price=0.89, quantity=48, daysToExpire=10}
Product{id=117, name='Champiñones', price=1.37, quantity=44, daysToExpire=9}
Product{id=118, name='Boletus', price=1.26, quantity=39, daysToExpire=16}
Product{id=119, name='Shiitakes', price=1.48, quantity=24, daysToExpire=15}
Product{id=120, name='Portobellos', price=1.83, quantity=21, daysToExpire=7}
Product{id=121, name='Hongos', price=1.59, quantity=30, daysToExpire=8}
Product{id=122, name='Trufas', price=1.33, quantity=28, daysToExpire=16}
Product{id=123, name='Tofu', price=2.03, quantity=40, daysToExpire=17}
Product{id=124, name='Tempeh', price=1.47, quantity=42, daysToExpire=13}
Product{id=125, name='Seitán', price=2.47, quantity=37, daysToExpire=14}
Product{id=126, name='Hummus', price=1.7, quantity=34, daysToExpire=5}
Product{id=127, name='Garbanzos', price=2.22, quantity=27, daysToExpire=14}
Product{id=128, name='Judías Verdes', price=1.19, quantity=26, daysToExpire=20}
Product{id=129, name='Judías Blancas', price=1.38, quantity=29, daysToExpire=5}
Product{id=130, name='Judías Rojas', price=1.61, quantity=48, daysToExpire=9}
Product{id=131, name='Judías Negras', price=2.43, quantity=24, daysToExpire=15}
Product{id=132, name='Frijoles', price=1.19, quantity=48, daysToExpire=20}
Product{id=133, name='Alubias', price=1.7, quantity=21, daysToExpire=14}
Product{id=134, name='Lentejas', price=1.1, quantity=31, daysToExpire=13}
Product{id=135, name='Guisantes', price=2.27, quantity=27, daysToExpire=17}
Product{id=136, name='Edamames', price=1.4, quantity=44, daysToExpire=18}
Product{id=137, name='Soja', price=1.53, quantity=26, daysToExpire=10}
Product{id=138, name='Almendra de Soja', price=1.64, quantity=49, daysToExpire=19}
Product{id=139, name='Sésamo', price=1.16, quantity=50, daysToExpire=19}
Product{id=140, name='Pipas de Calabaza', price=1.91, quantity=21, daysToExpire=8}
Product{id=141, name='Pipas de Girasol', price=1.89, quantity=48, daysToExpire=14}
Product{id=142, name='Lino', price=1.08, quantity=30, daysToExpire=17}
Product{id=143, name='Cacahuetes', price=2.37, quantity=24, daysToExpire=14}
Product{id=144, name='Copos de Avena', price=1.23, quantity=32, daysToExpire=7}
Product{id=145, name='Copos de Trigo', price=0.92, quantity=38, daysToExpire=5}
Product{id=146, name='Copos de Maíz', price=2.45, quantity=30, daysToExpire=6}
Product{id=147, name='Copos de Arroz', price=1.36, quantity=43, daysToExpire=8}
Product{id=148, name='Copos de Quinoa', price=2.07, quantity=17, daysToExpire=4}
Product{id=149, name='Levadura', price=1.5, quantity=43, daysToExpire=16}
Product{id=150, name='Polvo de Hornear', price=1.7, quantity=37, daysToExpire=3}
Product{id=151, name='Bicarbonato', price=1.8, quantity=46, daysToExpire=17}
Product{id=152, name='Azúcar', price=1.28, quantity=46, daysToExpire=15}
Product{id=153, name='Miel', price=1.1, quantity=22, daysToExpire=20}
Product{id=154, name='Sirope de Arce', price=1.28, quantity=38, daysToExpire=16}
Product{id=155, name='Sirope de Agave', price=1.62, quantity=45, daysToExpire=19}
Product{id=156, name='Sirope de Caña', price=0.97, quantity=25, daysToExpire=14}
Product{id=157, name='Jarabe de Maíz', price=1.37, quantity=39, daysToExpire=19}
Product{id=158, name='Fructosa', price=1.79, quantity=40, daysToExpire=11}
Product{id=159, name='Glucosa', price=1.35, quantity=26, daysToExpire=16}
Product{id=160, name='Lactosa', price=2.32, quantity=32, daysToExpire=16}
Product{id=161, name='Sacarina', price=1.7, quantity=22, daysToExpire=20}
Product{id=162, name='Aspartamo', price=1.11, quantity=50, daysToExpire=10}
Product{id=163, name='Stevia', price=1.85, quantity=34, daysToExpire=16}
Product{id=164, name='Eritritol', price=1.5, quantity=30, daysToExpire=19}
Product{id=165, name='Goma Xantana', price=1.78, quantity=21, daysToExpire=17}
Product{id=166, name='Goma Guar', price=1.21, quantity=40, daysToExpire=18}
Product{id=167, name='Gelatina', price=1.51, quantity=24, daysToExpire=7}
Product{id=168, name='Agar Agar', price=1.74, quantity=18, daysToExpire=4}
Product{id=169, name='Pectina', price=1.69, quantity=27, daysToExpire=8}
Product{id=170, name='Almíbar', price=1.97, quantity=35, daysToExpire=5}
Product{id=171, name='Mantequilla', price=1.23, quantity=41, daysToExpire=14}
Product{id=172, name='Margarina', price=2.13, quantity=29, daysToExpire=12}
Product{id=173, name='Aceite de Oliva', price=1.22, quantity=19, daysToExpire=6}
Product{id=174, name='Aceite de Girasol', price=0.96, quantity=24, daysToExpire=3}
Product{id=175, name='Aceite de Maíz', price=1.72, quantity=37, daysToExpire=12}
Product{id=176, name='Aceite de Soja', price=1.91, quantity=20, daysToExpire=19}
Product{id=177, name='Aceite de Palma', price=1.52, quantity=27, daysToExpire=4}
